Date,^DJI,AMZN,AXP,AMGN,AAPL,BA,CAT,CSCO,CVX,GS,HD,HON,IBM,INTC,JNJ,KO,JPM,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,CRM,VZ,V,WMT,DIS
2014-08-12 00:00:00-04:00,71.25,0.2180004119873047,0.3366395117069913,1.1404773142985078,0.2822361269180327,0.8086808424355496,0.785689250275297,0.1974222583627529,0.6679904188963377,1.4264061753784745,0.3251156663240238,0.7677646576091632,1.1688995413841496,0.3582496943087108,0.6921276138281911,0.2183395053792765,0.318418376630504,0.3855630747732874,0.4652754371077634,0.4360327844963834,0.5022337727315787,0.4249550015554462,0.4898330933025931,0.6286655157795877,0.7381912180571959,1.984316800642368,0.2369128057362992,0.4071423611622506,0.1172839462894117,0.7670193482695851
2014-08-13 00:00:00-04:00,102.75,0.279001235961914,0.7854902099945349,1.14047774366432,0.2666797842457917,1.391283492297319,0.8924751796662349,0.2486053886595947,0.8972075897435587,1.335708950883486,0.5154336058096334,0.9849186413958222,0.6901518634017805,0.701254520404035,0.6084577675333378,0.2911184464491754,0.2501883850327857,0.5937643981724392,0.5428214124457469,0.5133931233567068,0.5618206471941036,0.5591486958624046,0.5199772896064587,0.4695124106989681,1.0987009854563468,0.7478574285415931,0.1579433799520586,0.3822775332029593,0.2454788196300725,0.4839493040480533
2014-08-14 00:00:00-04:00,62.55078125,0.3689994812011719,0.6042296761523289,5.862059524257418,0.171119217206396,2.199957527973325,0.7704299160993884,0.4533396177218307,0.7662257497411247,1.1625679227610703,0.9753591455502146,0.3877611786944896,0.7709803901903456,0.3734917820160923,0.4183194233313401,0.1892268500259319,0.2274421517496279,0.4858074115966957,0.3221146571253115,0.5555920442213136,0.3490096800090398,0.3802203275734683,0.4521513449148813,0.7321147790514289,1.639466939163853,0.927343497678322,0.1275680430010126,0.2983628046986482,0.2236570696306898,1.0044308028140136
2014-08-15 00:00:00-04:00,199.849609375,0.3339996337890625,1.4242411856848918,2.516652369949824,0.2955712955425724,2.043438685667084,0.9840135334108312,0.2851644507564437,0.7331121379270229,2.605467750353313,0.9832846323002258,0.9926698995811024,1.2994653441353137,0.3811156287608312,1.2473453978013538,0.3566233986965095,0.8415387644450973,0.8173915651348125,1.1691485564242612,0.6821830207193074,0.4256217939382125,0.675452412871671,0.7912692084195143,1.1538759175362685,1.2617922679793594,1.0270562884018304,0.3341078592454884,0.790199175121586,0.3163927250612097,0.7122278290671034
2014-08-18 00:00:00-04:00,175.830078125,0.2014999389648437,0.4315898235995803,1.224113564422666,0.3089047477563618,1.4521449596952891,0.6254961232096719,0.1681738601986282,0.6340420356100935,1.5913193347496415,1.0546552477624829,0.6281758060912495,1.2745972553070146,0.3734945803789316,0.7377605109806922,0.4585121648653611,0.5079570407640759,0.624610518221445,0.9544128444458836,0.3657039258970513,0.3660349145821655,0.500998409364513,0.7837318820479808,0.5411296377639587,0.9699525792973276,0.7279141205626587,0.3037348178485928,0.7365812996500267,0.1718353345162313,0.7213607838053804
2014-08-19 00:00:00-04:00,90.0703125,0.1400012969970703,0.7164406854172825,1.4370017621246944,0.3022380519333687,0.5912935576828744,0.6331199881985015,0.0658074007703248,0.7595259484187977,1.2120366171098451,1.918992835965156,0.3740187980135943,0.5533642139417339,0.19055783282095,0.7149438750336543,0.2328958016858102,0.2880949596379238,0.3778502867014168,0.7158043746055966,0.429000940687672,0.4368441965722311,0.3310149520658285,0.5651906901091195,0.2705617200692387,1.4677974323397365,0.7777705414470049,0.4677519425427476,0.3636294308324252,0.2182023582475736,0.5935255411110489
2014-08-20 00:00:00-04:00,98.33984375,0.1569995880126953,0.6473848135126445,1.079650613562137,0.2533463381748042,1.8521369269144827,0.7246640227192103,0.1681738354782318,0.5415776211712853,1.3027216293396862,2.37098743706126,1.083095976454146,0.7088084523376921,0.2515348175237299,0.4563506300989957,0.1819500663063742,0.3487447641997363,0.5089461086882352,0.7920849903343736,0.7314109094109824,0.4282801282790558,0.398113412686321,0.3617245304817231,0.6604976438917021,1.1931217996256294,0.9173737334858032,0.224765349061407,0.4685255623572715,0.1472869970247288,0.3469878039966687
2014-08-21 00:00:00-04:00,90.708984375,0.2175006866455078,0.6387577369853688,0.7375099638870921,0.1844544281015139,0.9043315922814088,0.7856836072011788,0.1389268926679925,0.6604559535144858,2.044791167951786,0.9039886086940498,0.6155743226429422,0.9761521853751134,0.5640497243578402,0.8290259325186611,0.3420641663239507,0.8870280999528575,0.4009888512975834,0.3840404112774251,0.6118542662392699,0.359753651534902,0.3354891075754267,0.5877974381610045,1.0185953759675357,0.4377661850851524,1.1566860255514229,0.2551385001521709,0.2936998383964351,0.248205427273735,0.5022084500960062
2014-08-22 00:00:00-04:00,79.759765625,0.1639995574951172,0.5869623762831537,0.7907376411946814,0.2844589788134897,0.7304245299584551,0.9763834964926305,0.2412933215981461,0.6802740584505784,1.7727002838014698,0.5392219582554532,0.4986875571086102,0.9885967014963342,0.221047821366465,0.8116625988150332,0.3420670220328468,0.5686067968133415,0.4549676328763183,0.4860527263759167,0.323508029363488,0.3426254232268633,0.3623305763189393,0.3918688047273804,0.5013381561264509,0.4635158677949818,3.2307420031324696,0.2794354811586927,0.3846072903950528,0.1527416698302026,0.7122278194736538
2014-08-25 00:00:00-04:00,112.9296875,0.2029991149902343,0.7768629865305741,1.1784845305179914,0.1977878475145438,0.6173855913961859,0.4576791496631358,0.1096785614105293,0.4557247962020199,2.8033433397887397,0.6898884924534485,0.3584360810931173,0.6839298656007031,0.3811157479485736,0.5513201488558366,0.2401753707204328,0.7353989367969547,0.7402804926129818,0.3420329759187694,0.4290009084111759,0.3426220851395101,0.3578564420888099,0.384331258308265,0.5172510304498132,0.6866916170703092,1.1467124666615265,0.2915851317886009,0.3426516016871446,0.1391041831027131,0.7670123091674128
