Date,Open,High,Low,Close,Volume,HLSpread,Return,LogReturn
2014-08-12 00:00:00-04:00,16565.55078125,16589.310546875,16518.060546875,16560.5390625,62770000,71.25,-0.0005697898236999288,-0.0005699522156106268
2014-08-13 00:00:00-04:00,16567.5390625,16670.2890625,16567.5390625,16651.80078125,66020000,102.75,0.005510793966644112,0.005495665097509832
2014-08-14 00:00:00-04:00,16657.3203125,16714.220703125,16651.669921875,16713.580078125,62370000,62.55078125,0.003710067018370955,0.003703201695030801
2014-08-15 00:00:00-04:00,16717.009765625,16775.26953125,16575.419921875,16662.91015625,109180000,199.849609375,-0.003031661776719985,-0.003036266572428018
2014-08-18 00:00:00-04:00,16664.44921875,16840.279296875,16664.44921875,16838.740234375,75670000,175.830078125,0.01055218305063299,0.010496897350199274
2014-08-19 00:00:00-04:00,16839.060546875,16929.130859375,16839.060546875,16919.58984375,67220000,90.0703125,0.004801404870534931,0.004789914890189709
2014-08-20 00:00:00-04:00,16910.029296875,16994.890625,16896.55078125,16979.130859375,61960000,98.33984375,0.003519057859844965,0.0035128804639016514
2014-08-21 00:00:00-04:00,16983.880859375,17074.58984375,16983.880859375,17039.490234375,65160000,90.708984375,0.0035549154724061616,0.003548611695576664
2014-08-22 00:00:00-04:00,17038.26953125,17064.279296875,16984.51953125,17001.220703125,64330000,79.759765625,-0.0022459316988718836,-0.0022484575861587875
2014-08-25 00:00:00-04:00,17011.810546875,17124.740234375,17011.810546875,17076.869140625,57400000,112.9296875,0.004449588580783148,0.004439718429425039
2014-08-26 00:00:00-04:00,17079.5703125,17153.80078125,17079.5703125,17106.69921875,50710000,74.23046875,0.0017468118938754884,0.0017452879923672917
2014-08-27 00:00:00-04:00,17111.029296875,17134.599609375,17090.609375,17122.009765625,61690000,43.990234375,0.000895002985626725,0.0008946027092691369
2014-08-28 00:00:00-04:00,17119.060546875,17119.060546875,17018.330078125,17079.5703125,51860000,100.73046875,-0.002478649043303527,-0.0024817259793247456
2014-08-29 00:00:00-04:00,17083.419921875,17110.419921875,17035.380859375,17098.44921875,81500000,75.0390625,0.0011053501876556737,0.0011047397379360616
2014-09-02 00:00:00-04:00,17097.419921875,17113.509765625,17009.0703125,17067.560546875,64820000,104.439453125,-0.0018065189117342229,-0.0018081526348877883
2014-09-03 00:00:00-04:00,17067.240234375,17151.890625,17060.2109375,17078.279296875,62770000,91.6796875,0.0006280188648262186,0.0006278217435052175
2014-09-04 00:00:00-04:00,17083.609375,17161.55078125,17030.119140625,17069.580078125,68120000,131.431640625,-0.0005093732570348175,-0.00050950303166333
2014-09-05 00:00:00-04:00,17065.890625,17137.359375,17009.619140625,17137.359375,76630000,127.740234375,0.003970765336041238,0.003962902654400708
2014-09-08 00:00:00-04:00,17131.7109375,17137.880859375,17079.169921875,17111.419921875,65640000,58.7109375,-0.0015136201883494405,-0.0015147668686250743
